departamento,localidad,codloc,poblacion,densidad
CANELONES,COLINAS DE SOLYMAR,3987,2813,2969
CANELONES,BARRIO REMANSO,3988,178,1884
CANELONES,VILLA EL TATO,3989,615,2125
CANELONES,VILLA SAN CONO,3990,137,2569
CANELONES,VILLA JUANA,3991,44,130
CANELONES,COLINAS DE CARRASCO,3992,56,119
CANELONES,LOMAS DE CARRASCO,3993,806,669
CANELONES,CARMEL,3994,80,229
CANELONES,LA ASUNCION,3995,184,1409
CANELONES,QUINTAS DEL BOSQUE,3996,57,2325
CANELONES,ALTOS DE LA TAHONA,3997,168,134
CERRO LARGO,MELO,4220,51830,3131
CERRO LARGO,FRAILE MUERTO,4521,3168,1272
CERRO LARGO,RIO BRANCO,4522,14604,1752
CERRO LARGO,TUPAMBAE,4621,1122,859
CERRO LARGO,ISIDORO NOBLIA,4721,2331,1633
CERRO LARGO,ACEGUA,4821,1511,2162
CERRO LARGO,BAÑADO DE MEDINA,4822,207,587
CERRO LARGO,CENTURION,4823,35,334
CERRO LARGO,CERRO DE LAS CUENTAS,4824,263,498
CERRO LARGO,HIPODROMO,4825,505,400
CERRO LARGO,PLACIDO ROSAS,4827,415,368
CERRO LARGO,TOLEDO,4828,132,219
CERRO LARGO,TRES ISLAS,4829,195,434
CERRO LARGO,POBLADO URUGUAY,4830,104,254
CERRO LARGO,ARBOLITO,4923,189,238
CERRO LARGO,AREVALO,4924,272,3803
CERRO LARGO,CASERIO LAS CAÑAS,4930,72,135
CERRO LARGO,ESPERANZA,4940,26,610
CERRO LARGO,GETULIO VARGAS,4943,28,254
CERRO LARGO,LA PEDRERA,4948,131,774
CERRO LARGO,LAGO MERIN,4949,439,286
CERRO LARGO,MANGRULLO,4952,6,44
CERRO LARGO,NANDO,4956,13,156
CERRO LARGO,QUEBRACHO,4966,70,792
CERRO LARGO,RAMON TRIGO,4968,150,1613
CERRO LARGO,SOTO GORO,4981,9,47
CERRO LARGO,BARRIO LOPEZ BENITEZ,4983,522,2895
CERRO LARGO,BARRIO LA VINCHUCA,4987,388,2104
CERRO LARGO,ARACHANIA,4988,20,208
CERRO LARGO,ÑANGAPIRE,4989,5,10
COLONIA,COLONIA DEL SACRAMENTO,5320,26231,1225
COLONIA,CARMELO,5321,18041,1512
COLONIA,JUAN LACAZE,5323,12816,2371
COLONIA,NUEVA HELVECIA,5421,10630,862
COLONIA,ROSARIO,5422,10085,1488
COLONIA,NUEVA PALMIRA,5423,9857,528
COLONIA,PASO ANTOLIN,5452,78,841
COLONIA,OMBUES DE LAVALLE,5521,3390,1703
COLONIA,TARARIRAS,5522,6632,2119
COLONIA,COLONIA VALDENSE,5621,3235,500
COLONIA,FLORENCIO SANCHEZ,5622,3716,1626
COLONIA,CONCHILLAS,5721,401,783
COLONIA,CASERIO EL CERRO,5722,168,547
COLONIA,LA PAZ,5724,603,719
COLONIA,RIACHUELO,5726,138,928
COLONIA,JUAN CARLOS CASEROS,5727,85,1272
COLONIA,AGRACIADA,5798,192,674
COLONIA,BOCA DEL ROSARIO,5821,12,51
COLONIA,CUFRE,5824,353,727
COLONIA,EL SEMILLERO,5826,600,1460
COLONIA,ESTACION ESTANZUELA,5827,249,754
COLONIA,CERROS DE SAN JUAN,5829,60,187
COLONIA,MIGUELETE,5831,999,835
COLONIA,CAMPANA,5923,298,1224
COLONIA,ARTILLEROS,5924,73,259
COLONIA,BARKER,5925,158,810
COLONIA,EL ENSUEÑO,5927,19,34
COLONIA,BLANCA ARENA,5931,69,161
COLONIA,BRISAS DEL PLATA,5932,27,115
COLONIA,COLONIA COSMOPOLITA,5938,73,566
COLONIA,PARAJE MINUANO,5940,120,859
COLONIA,LOS PINOS,5951,193,226
COLONIA,CHICO TORINO,5955,61,536
COLONIA,LA HORQUETA,5956,100,3064
COLONIA,PLAYA AZUL,5959,25,78
COLONIA,PLAYA BRITOPOLIS,5960,107,138
COLONIA,PLAYA PARANT,5961,45,129
COLONIA,PLAYA FOMENTO,5962,84,194
COLONIA,PUERTO INGLES,5964,60,146
COLONIA,RADIAL HERNANDEZ,5969,294,1491
COLONIA,SAN PEDRO,5977,73,1898
COLONIA,SANTA ANA,5979,222,126
COLONIA,SANTA REGINA,5980,52,99
COLONIA,ZAGARZAZU,5987,96,184
COLONIA,ARRIVILLAGA,5989,112,1614
COLONIA,EL FARO,5993,9,5
COLONIA,LAGUNA DE LOS PATOS,5994,136,688
COLONIA,JUAN JACKSON,5996,68,396
COLONIA,PUEBLO GIL,5997,309,2145
COLONIA,CERRO CARMELO,5998,222,1789
COLONIA,EL QUINTON,5999,56,1359
DURAZNO,DURAZNO,6220,34368,2042
DURAZNO,SARANDI DEL YI,6421,7176,980
DURAZNO,CARMEN,6521,2692,872
DURAZNO,BLANQUILLO,6621,1084,969
DURAZNO,LA PALOMA,6622,1443,532
DURAZNO,CARLOS REYLES,6721,976,359
DURAZNO,CENTENARIO,6722,1136,683
DURAZNO,SANTA BERNARDINA,6724,1094,362
DURAZNO,CERRO CHATO,6790,1124,949
DURAZNO,BAYGORRIA,6821,161,271
DURAZNO,AGUAS BUENAS,6922,86,1372
DURAZNO,PUEBLO DE ALVAREZ,6924,29,69
DURAZNO,FELICIANO,6940,77,1906
DURAZNO,OMBUES DE ORIBE,6951,89,1026
DURAZNO,ROSSELL Y RIUS,6960,72,66
DURAZNO,SAN JORGE,6964,502,1036
DURAZNO,LAS PALMAS,6972,24,639
FLORES,TRINIDAD,7320,21429,3221
FLORES,ISMAEL CORTINAS,7721,918,963
FLORES,ANDRESITO,7921,261,832
FLORES,JUAN JOSE CASTRO,7925,97,398
FLORES,LA CASILLA,7937,181,1777
FLORES,CERRO COLORADO,7938,96,1177
FLORIDA,FLORIDA,8220,33639,1951
FLORIDA,SARANDI GRANDE,8421,6130,2024
FLORIDA,CASUPA,8521,2402,845
FLORIDA,CARDAL,8621,1202,933
FLORIDA,FRAY MARCOS,8622,2398,1339
FLORIDA,25 DE AGOSTO,8623,1849,714
FLORIDA,25 DE MAYO,8624,1852,512
FLORIDA,ALEJANDRO GALLINAL,8721,1357,959
FLORIDA,CAPILLA DEL SAUCE,8722,835,620
FLORIDA,LA CRUZ,8723,747,971
FLORIDA,NICO PEREZ,8724,1030,1340
FLORIDA,CERRO CHATO,8790,409,779
FLORIDA,CHAMIZO,8821,540,1023
FLORIDA,GOÑI,8822,246,548
FLORIDA,MENDOZA,8823,730,1648
FLORIDA,MENDOZA CHICO,8824,810,1027
FLORIDA,REBOLEDO,8825,342,404
FLORIDA,VALENTINES,8896,45,238
FLORIDA,BERRONDO,8923,166,1762
FLORIDA,PUEBLO FERRER,8930,3,55
FLORIDA,INDEPENDENCIA,8933,396,1540
FLORIDA,MONTECORAL,8938,51,158
FLORIDA,PINTADO,8940,170,413
FLORIDA,POLANCO DEL YI,8941,38,201
FLORIDA,PUNTAS DE MACIEL,8944,160,808
FLORIDA,ILLESCAS,8991,83,408
FLORIDA,CASERIO LA FUNDACION,8992,13,163
FLORIDA,LA MACANA,8993,91,1484
FLORIDA,ESTACION CAPILLA DEL SAUCE,8994,40,482
FLORIDA,SAN GABRIEL,8995,172,1453
LAVALLEJA,MINAS,9220,38446,2135
LAVALLEJA,JOSE BATLLE Y ORDOÑEZ,9521,2203,1002
LAVALLEJA,JOSE PEDRO VARELA,9522,5118,1157
LAVALLEJA,MARISCALA,9621,1626,622
LAVALLEJA,SOLIS DE MATAOJO,9622,2825,695
LAVALLEJA,PIRARAJA,9721,713,359
LAVALLEJA,ZAPICAN,9722,553,248
LAVALLEJA,COLON,9821,180,113
LAVALLEJA,ARAMENDIA,9823,96,373
LAVALLEJA,BLANES VIALE,9924,104,1063
LAVALLEJA,19 DE JUNIO,9928,55,356
LAVALLEJA,ESTACION SOLIS,9931,55,192
LAVALLEJA,GAETAN,9932,49,779
LAVALLEJA,POLANCO NORTE,9942,87,1267
LAVALLEJA,VILLA DEL ROSARIO,9955,149,5315
LAVALLEJA,VILLA SERRANA,9956,89,21
LAVALLEJA,BARRIO LA CORONILLA - ANCAP,9957,301,504
LAVALLEJA,SAN FRANCISCO DE LAS SIERRAS,9958,58,104
LAVALLEJA,ILLESCAS,9991,38,107
MALDONADO,MALDONADO,10320,62590,4916
MALDONADO,SAN CARLOS,10321,27471,3656
MALDONADO,AIGUA,10521,2465,687
MALDONADO,PAN DE AZUCAR,10522,6597,2037
MALDONADO,PIRIAPOLIS,10523,8830,946
MALDONADO,PUNTA DEL ESTE,10524,9277,610
MALDONADO,CERRO PELADO,10821,8177,6167
MALDONADO,GARZON,10822,198,357
MALDONADO,GERONA,10823,679,1256
MALDONADO,LAS FLORES - ESTACION,10825,397,453
MALDONADO,LOS TALAS,10826,124,536
MALDONADO,NUEVA CARRARA,10827,156,289
MALDONADO,SOLIS,10828,288,72
MALDONADO,PUEBLO SOLIS,10829,61,608
MALDONADO,PINARES - LAS DELICIAS,10830,9819,929
MALDONADO,CHIHUAHUA,10831,37,19
MALDONADO,VILLA DELIA,10832,1703,2089
MALDONADO,SAN RAFAEL - EL PLACER,10833,3146,311
MALDONADO,BARRIO HIPODROMO,10924,1973,3356
MALDONADO,LOS AROMOS,10925,956,1177
MALDONADO,BELLA VISTA,10926,141,56
MALDONADO,CANTERAS DE MARELLI,10929,200,883
MALDONADO,CERROS AZULES,10931,293,780
MALDONADO,EL CHORRO,10934,392,332
MALDONADO,EL EDEN,10935,85,283
MALDONADO,EL TESORO,10936,1396,550
MALDONADO,FARO JOSE IGNACIO,10939,292,67
MALDONADO,GREGORIO AZNAREZ,10940,944,976
MALDONADO,LA BARRA,10942,339,111
MALDONADO,LA CAPUERA,10944,2838,236
MALDONADO,LAS FLORES,10945,241,229
MALDONADO,MANANTIALES,10947,149,142
MALDONADO,OCEAN PARK,10948,234,49
MALDONADO,PLAYA GRANDE,10953,1031,489
MALDONADO,PLAYA HERMOSA,10954,611,177
MALDONADO,PLAYA VERDE,10955,269,203
MALDONADO,PUNTA BALLENA,10956,750,50
MALDONADO,PUNTA COLORADA,10958,92,107
MALDONADO,PUNTA NEGRA,10959,178,25
MALDONADO,RUTA 37 Y 9,10962,62,34
MALDONADO,SAUCE DE PORTEZUELO,10969,128,37
MALDONADO,SAN VICENTE,10972,4,2
MALDONADO,BALNEARIO BUENOS AIRES,10973,1551,300
MALDONADO,LAS CUMBRES,10980,14,26
MALDONADO,LOS CORCHOS,10981,24,78
MALDONADO,SANTA MONICA,10982,111,29
MALDONADO,EDEN ROCK,10983,8,3
MALDONADO,PARQUE MEDINA,10984,204,633
MALDONADO,ARENAS DE JOSE IGNACIO,10985,38,14
MALDONADO,LA SONRISA,10986,1562,3325
MALDONADO,EL QUIJOTE,10987,10,5
MALDONADO,LAGUNA BLANCA,10988,4,6
PAYSANDU,PAYSANDU,11120,76412,3539
PAYSANDU,GUICHON,11521,5039,1577
PAYSANDU,NUEVO PAYSANDU,11522,8578,346
PAYSANDU,QUEBRACHO,11621,2853,2202
PAYSANDU,TAMBORES,11695,1111,1019
PAYSANDU,LORENZO GEYRES,11721,774,1481
PAYSANDU,MERINOS,11722,528,539
PAYSANDU,PORVENIR,11723,1159,1600
PAYSANDU,ARBOLITO,11821,115,288
PAYSANDU,BEISSO,11822,399,675
PAYSANDU,CASABLANCA,11823,343,650
PAYSANDU,CERRO CHATO,11824,333,81
PAYSANDU,CONSTANCIA,11825,331,1268
PAYSANDU,MORATO,11826,218,618
PAYSANDU,PIEDRAS COLORADAS,11827,1094,1562
PAYSANDU,PIÑERA,11828,112,177
PAYSANDU,SAN FELIX,11830,1718,952
PAYSANDU,VILLA MARIA (TIATUCURA),11831,49,183
PAYSANDU,PIEDRA SOLA,11894,122,285
PAYSANDU,ARAUJO,11922,34,228
PAYSANDU,BELLA VISTA,11924,50,492
PAYSANDU,CAÑADA DEL PUEBLO,11925,186,814
PAYSANDU,CHAPICUY,11926,735,1389
PAYSANDU,EL EUCALIPTUS,11929,197,158
PAYSANDU,ESPERANZA,11931,340,525
PAYSANDU,PUEBLO FEDERACION,11932,20,11
PAYSANDU,LA TENTACION,11935,137,460
PAYSANDU,ORGOROSO,11937,583,1569
PAYSANDU,CUCHILLA DE BURICAYUPI,11945,14,1120
PAYSANDU,SOTO,11947,43,1815
PAYSANDU,ZEBALLOS,11950,81,312
PAYSANDU,CHACRAS DE PAYSANDU,11951,3965,30
PAYSANDU,GALLINAL,11953,700,1425
PAYSANDU,PUNTAS DE ARROYO NEGRO,11954,42,759
PAYSANDU,ESTACION PORVENIR,11955,137,637
PAYSANDU,CUCHILLA DE FUEGO,11956,11,85
PAYSANDU,PUEBLO ALONZO,11957,1,24
PAYSANDU,QUEGUAYAR,11958,135,1900
PAYSANDU,TERMAS DE GUAVIYU,11959,38,44
PAYSANDU,TERMAS DE ALMIRON,11960,6,23
RIO NEGRO,FRAY BENTOS,12320,24406,2704
RIO NEGRO,YOUNG,12421,16756,2068
RIO NEGRO,NUEVO BERLIN,12621,2450,443
RIO NEGRO,SAN JAVIER,12622,1781,1174
RIO NEGRO,BARRIO ANGLO,12722,785,1056
RIO NEGRO,GRECCO,12723,598,428
RIO NEGRO,MERINOS,12792,4,25
RIO NEGRO,ALGORTA,12797,779,1060
RIO NEGRO,EL OMBU,12821,53,383
RIO NEGRO,PASO DE LOS MELLIZOS,12823,312,907
RIO NEGRO,SARANDI DE NAVARRO,12824,239,307
RIO NEGRO,VILLA GENERAL BORGES,12826,362,838
RIO NEGRO,VILLA MARIA,12827,132,277
RIO NEGRO,LAS CAÑAS,12828,177,188
RIO NEGRO,BELLACO,12923,283,3359
RIO NEGRO,LOS ARRAYANES,12930,248,479
RIO NEGRO,MENAFRA,12932,39,137
RIO NEGRO,TRES QUINTAS,12945,149,1382
RIVERA,RIVERA,13220,64465,2221
RIVERA,MINAS DE CORRALES,13521,3788,1359
RIVERA,TRANQUERAS,13522,7235,1366
RIVERA,VICHADERO,13621,3698,1889
RIVERA,SANTA TERESA,13721,2657,843
RIVERA,ARROYO BLANCO,13822,97,60
RIVERA,PASO ATAQUES,13823,107,356
RIVERA,CERRO PELADO,13824,128,680
RIVERA,PASO HOSPITAL,13830,295,1360
RIVERA,LAPUENTE,13831,321,153
RIVERA,LAS FLORES,13832,359,255
RIVERA,MOIRONES,13833,211,630
RIVERA,LA PEDRERA,13836,3363,1402
RIVERA,MANDUBI,13837,6019,2376
RIVERA,LAGUNON,13838,2376,1228
RIVERA,AMARILLO,13922,20,574
RIVERA,CERRILLADA,13929,113,899
RIVERA,CERROS DE LA CALERA,13931,88,245
RIVERA,LAGOS DEL NORTE,13940,291,274
RIVERA,MASOLLER,13943,240,1292
ROCHA,ROCHA,14320,25422,1354
ROCHA,CASTILLOS,14421,7541,1758
ROCHA,LASCANO,14422,7645,2148
ROCHA,CHUY,14521,9675,2995
ROCHA,CEBOLLATI,14621,1609,1259
ROCHA,VELAZQUEZ,14622,1022,445
ROCHA,18 DE JULIO,14721,977,914
ROCHA,LA PALOMA,14722,3495,249
ROCHA,SAN LUIS AL MEDIO,14723,598,776
ROCHA,LA AGUADA Y COSTA AZUL,14821,1090,634
ROCHA,19 DE ABRIL,14822,205,322
ROCHA,LA CORONILLA,14823,510,202
ROCHA,BARRIO PEREIRA,14826,186,358
ROCHA,AGUAS DULCES,14921,417,285
ROCHA,BARRA DEL CHUY,14923,370,274
ROCHA,BARRIO TORRES,14926,83,509
ROCHA,CABO POLONIO,14928,95,46
ROCHA,CAPACHO,14929,457,1377
ROCHA,BARRA DE VALIZAS,14940,330,332
ROCHA,LA ESMERALDA,14941,57,5
ROCHA,LA PEDRERA,14942,225,132
ROCHA,PARALLE,14948,16,72
ROCHA,PUERTO DE LOS BOTES,14953,21,447
ROCHA,PUIMAYEN,14957,505,181
ROCHA,ARACHANIA,14959,377,274
ROCHA,PTA. RUBIA Y STA. ISABEL DE LA PED,14960,94,21
ROCHA,PUNTA DEL DIABLO,14962,823,190
ROCHA,PALMARES DE LA CORONILLA,14963,10,40
ROCHA,LA RIBIERA,14964,30,127
ROCHA,PUENTE VALIZAS,14965,32,741
ROCHA,OCEANIA DEL POLONIO,14966,7,2
ROCHA,PUEBLO NUEVO,14967,10,4
ROCHA,TAJAMARES DE LA PEDRERA,14968,2,2
ROCHA,SAN ANTONIO,14969,6,3
SALTO,SALTO,15120,104011,2812
SALTO,BELEN,15522,1926,947
SALTO,CONSTITUCION,15523,2762,1190
SALTO,FERNANDEZ,15721,305,166
SALTO,SAN ANTONIO,15722,877,1591
SALTO,CHACRAS DE BELEN,15723,296,15
SALTO,ALBISU,15821,544,3414
SALTO,BIASSINI,15822,345,1052
SALTO,CAMPO DE TODOS,15823,212,79
SALTO,CAYETANO,15824,39,375
SALTO,CUCHILLA DE GUAVIYU,15825,138,787
SALTO,TERMAS DEL DAYMAN,15827,356,209
SALTO,PALOMAS,15828,88,281
SALTO,PASO DEL PARQUE DEL DAYMAN,15829,54,1420
SALTO,QUINTANA,15830,67,676
SALTO,SARANDI DE ARAPEY,15831,210,1225
SALTO,SAUCEDO,15832,270,1821
SALTO,ARENITAS BLANCAS,15924,155,107
SALTO,CELESTE,15931,83,1173
SALTO,CERROS DE VERA,15935,160,1047
SALTO,GARIBALDI,15939,354,758
SALTO,TERMAS DEL ARAPEY,15943,184,193
SALTO,LAS FLORES,15944,124,426
SALTO,LAURELES,15945,120,1092
SALTO,LLUVERAS,15946,223,1147
SALTO,MIGLIARO,15949,733,1378
SALTO,OLIVERA,15950,145,307
SALTO,PASO DE LAS PIEDRAS DE ARERUNGUA,15957,64,227
SALTO,PUNTAS DE VALENTIN,15959,171,1386
SALTO,RINCON DE VALENTIN,15965,481,1403
SALTO,COLONIA 18 DE JULIO,15966,750,2312
SALTO,PARQUE JOSE LUIS,15969,19,186
SALTO,COLONIA ITAPEBI,15970,460,2179
SALTO,GUAVIYU DE ARAPEY,15971,101,1626
SALTO,RUSSO,15972,30,210
SALTO,PASO CEMENTERIO,15973,88,1633
SALTO,OSIMANI Y LLERENA,15974,67,1088
SAN JOSE,SAN JOSE DE MAYO,16220,36743,2641
SAN JOSE,LIBERTAD,16421,10166,1764
SAN JOSE,DELTA DEL TIGRE Y VILLAS,16521,20239,1130
SAN JOSE,RODRIGUEZ,16621,2604,2125
SAN JOSE,ITUZAINGO,16721,771,1010
SAN JOSE,SANTA MONICA,16722,1662,1069
SAN JOSE,PUNTAS DE VALDEZ,16821,1491,1434
SAN JOSE,GONZALEZ,16822,222,292
SAN JOSE,MAL ABRIGO,16823,344,610
SAN JOSE,PLAYA PASCUAL,16824,6870,1849
SAN JOSE,18 DE JULIO (PUEBLO NUEVO),16825,469,1207
SAN JOSE,RAFAEL PERAZA,16826,1277,2020
SAN JOSE,RAIGON,16827,738,1176
SAN JOSE,SAFICI (PARQUE POSTEL),16829,1087,601
SAN JOSE,JUAN SOLER,16923,343,828
SAN JOSE,BOCA DEL CUFRE,16924,28,53
SAN JOSE,CAPURRO,16925,517,523
SAN JOSE,VILLA MARIA,16926,620,1709
SAN JOSE,ECILDA PAULLIER,16929,2585,1223
SAN JOSE,KIYU-ORDEIG,16932,423,156
SAN JOSE,LA BOYADA,16933,61,988
SAN JOSE,CAÑADA GRANDE,16939,59,744
SAN JOSE,RINCON DEL PINO,16945,162,1155
SAN JOSE,SAN GREGORIO,16946,35,1118
SAN JOSE,SCAVINO,16947,183,2642
SAN JOSE,MONTE GRANDE,16950,1287,2208
SAN JOSE,CERAMICAS DEL SUR,16960,93,603
SAN JOSE,RADIAL,16961,250,556
SAN JOSE,COLOLO TINOSA,16962,149,1109
SAN JOSE,MANGRULLO,16963,81,1305
SAN JOSE,CARRETA QUEMADA,16964,99,1137
SAN JOSE,COSTAS DE PEREIRA,16965,134,1541
SAN JOSE,COLONIA DELTA,16966,41,456
SORIANO,MERCEDES,17220,41974,3757
SORIANO,DOLORES,17321,17174,3850
SORIANO,CARDONA,17521,4600,2766
SORIANO,JOSE ENRIQUE RODO,17621,2120,1124
SORIANO,PALMITAS,17622,2123,1654
SORIANO,VILLA SORIANO,17623,1124,659
SORIANO,PALMAR,17624,381,488
SORIANO,EGAÑA,17721,783,495
SORIANO,SANTA CATALINA,17722,998,857
SORIANO,AGRACIADA,17798,394,963
SORIANO,CASTILLOS,17822,151,489
SORIANO,RISSO,17823,557,1339
SORIANO,SACACHISPAS,17824,456,386
SORIANO,CAÑADA NIETO,17825,430,760
SORIANO,CUCHILLA DEL PERDIDO,17927,36,1789
SORIANO,EL TALA,17928,73,911
SORIANO,LA CONCORDIA,17930,74,214
SORIANO,LA LOMA,17931,118,4
SORIANO,PALO SOLO,17939,170,905
SORIANO,CHACRAS DE DOLORES,17950,1961,70
SORIANO,COLONIA CONCORDIA,17951,43,397
SORIANO,PERSEVERANO,17952,131,1007
SORIANO,LARES,17993,111,1184
TACUAREMBO,TACUAREMBO,18220,54755,1721
TACUAREMBO,PASO DE LOS TOROS,18321,12985,1341
