DPTO;NOMBRE;empresas
2;ARTIGAS;55
3;CANELONES;563
4;CERRO LARGO;88
5;COLONIA;60
6;DURAZNO;40
7;FLORES;28
8;FLORIDA;101
9;LAVALLEJA;54
10;MALDONADO;188
1;MONTEVIDEO;3124
11;PAYSANDU;144
12;RIO NEGRO;67
13;RIVERA;62
14;ROCHA;54
15;SALTO;97
16;SAN JOSE;154
17;SORIANO;85
18;TACUAREMBO;61
19;TREINTA Y TRES;38
