depto_origen,depto_destino,cod,n,edad_promedio,edad_mediana,varones,mujeres,ind_masc
6,19,619,77,28.142857142857142,26,34,43,79.07
7,1,701,735,26.0421768707483,21,301,434,69.35
7,2,702,2,25.5,25,2,0,inf
7,3,703,162,32.17283950617284,27,78,84,92.86
7,4,704,13,28.76923076923077,29,7,6,116.67
7,5,705,86,27.523255813953487,25,49,37,132.43
7,6,706,90,32.13333333333333,32,47,43,109.3
7,8,708,76,28.57894736842105,27,42,34,123.53
7,9,709,5,16.4,13,3,2,150.0
7,10,710,79,31.518987341772153,28,39,40,97.5
7,11,711,30,25.4,22,15,15,100.0
7,12,712,36,31.083333333333332,27,17,19,89.47
7,13,713,10,30.3,26,7,3,233.33
7,14,714,13,35.46153846153846,35,7,6,116.67
7,15,715,17,29.41176470588235,21,7,10,70.0
7,16,716,116,30.603448275862068,28,70,46,152.17
7,17,717,85,28.435294117647057,27,43,42,102.38
7,18,718,29,39.03448275862069,39,16,13,123.08
7,19,719,14,29.357142857142858,32,10,4,250.0
8,1,801,1420,27.011971830985914,22,607,813,74.66
8,2,802,13,46.69230769230769,48,5,8,62.5
8,3,803,892,32.228699551569505,29,443,449,98.66
8,4,804,37,36.75675675675676,34,17,20,85.0
8,5,805,107,27.05607476635514,22,57,50,114.0
8,6,806,307,32.469055374592834,29,149,158,94.3
8,7,807,84,32.583333333333336,31,41,43,95.35
8,9,809,163,30.76073619631902,27,90,73,123.29
8,10,810,310,33.50645161290323,30,170,140,121.43
8,11,811,47,28.659574468085108,23,29,18,161.11
8,12,812,30,30.633333333333333,28,16,14,114.29
8,13,813,46,32.97826086956522,30,26,20,130.0
8,14,814,62,28.532258064516128,23,32,30,106.67
8,15,815,19,29.894736842105264,36,9,10,90.0
8,16,816,321,31.12772585669782,27,183,138,132.61
8,17,817,51,30.372549019607842,30,30,21,142.86
8,18,818,68,26.955882352941178,25,33,35,94.29
8,19,819,64,34.5,33,37,27,137.04
9,1,901,1264,27.037974683544302,21,551,713,77.28
9,2,902,7,43.57142857142857,51,5,2,250.0
9,3,903,446,33.596412556053814,29,213,233,91.42
9,4,904,64,29.375,28,40,24,166.67
9,5,905,39,36.07692307692308,32,24,15,160.0
9,6,906,29,34.172413793103445,32,18,11,163.64
9,7,907,17,20.352941176470587,20,12,5,240.0
9,8,908,138,34.108695652173914,31,70,68,102.94
9,10,910,936,31.210470085470085,27,461,475,97.05
9,11,911,28,27.892857142857142,28,13,15,86.67
9,12,912,11,37.54545454545455,33,8,3,266.67
9,13,913,25,35.44,32,12,13,92.31
9,14,914,150,29.593333333333334,28,78,72,108.33
9,15,915,15,30.4,27,11,4,275.0
9,16,916,45,29.8,28,17,28,60.71
9,17,917,11,27.727272727272727,26,7,4,175.0
9,18,918,45,28.266666666666666,28,24,21,114.29
9,19,919,221,30.751131221719458,28,118,103,114.56
10,1,1001,2333,28.576082297471068,22,1039,1294,80.29
10,2,1002,46,34.391304347826086,28,26,20,130.0
10,3,1003,862,34.707656612529,31,454,408,111.27
10,4,1004,208,27.740384615384617,27,111,97,114.43
10,5,1005,196,34.484693877551024,32,89,107,83.18
10,6,1006,75,27.813333333333333,27,36,39,92.31
10,7,1007,58,30.724137931034484,30,33,25,132.0
10,8,1008,121,33.107438016528924,32,58,63,92.06
10,9,1009,407,33.16216216216216,30,214,193,110.88
10,11,1011,95,30.33684210526316,26,46,49,93.88
10,12,1012,95,29.88421052631579,28,48,47,102.13
10,13,1013,117,30.52991452991453,30,57,60,95.0
10,14,1014,535,33.05046728971963,30,275,260,105.77
10,15,1015,98,27.489795918367346,26,54,44,122.73
10,16,1016,131,32.213740458015266,28,67,64,104.69
10,17,1017,110,30.71818181818182,31,67,43,155.81
10,18,1018,71,31.408450704225352,29,35,36,97.22
10,19,1019,259,29.054054054054053,27,131,128,102.34
11,1,1101,2096,27.21087786259542,22,917,1179,77.78
11,2,1102,75,30.626666666666665,28,34,41,82.93
11,3,1103,434,31.640552995391705,27,213,221,96.38
11,4,1104,35,28.057142857142857,28,16,19,84.21
11,5,1105,151,33.735099337748345,30,77,74,104.05
11,6,1106,55,35.21818181818182,31,39,16,243.75
11,7,1107,29,29.82758620689655,27,14,15,93.33
11,8,1108,57,31.473684210526315,28,26,31,83.87
11,9,1109,37,30.2972972972973,28,20,17,117.65
