CCOMP96,CCOMP04,REG96A04,MODIF96A04
104001001,104001001,0,SIN MODIFICACION
104001002,104001002,0,SIN MODIFICACION
104001003,104001003,0,SIN MODIFICACION
104001004,104001004,0,SIN MODIFICACION
104001005,104001005,0,SIN MODIFICACION
104001006,104001006,0,SIN MODIFICACION
104001007,104001007,0,SIN MODIFICACION
104001008,104001008,0,SIN MODIFICACION
104001009,104001009,0,SIN MODIFICACION
104001010,104001010,0,SIN MODIFICACION
104001011,104001011,0,SIN MODIFICACION
104001012,104001012,0,SIN MODIFICACION
104001500,104001500,0,SIN MODIFICACION
104102001,104102001,0,SIN MODIFICACION
104102002,104102002,0,SIN MODIFICACION
104102003,104102003,0,SIN MODIFICACION
104102004,104102004,0,SIN MODIFICACION
104102005,104102005,0,SIN MODIFICACION
104102006,104102006,0,SIN MODIFICACION
104103001,104103001,0,SIN MODIFICACION
104103002,104103002,0,SIN MODIFICACION
104103005,104103005,0,SIN MODIFICACION
104103006,104103006,0,SIN MODIFICACION
104103009,104103009,0,SIN MODIFICACION
104103010,104103010,0,SIN MODIFICACION
104104001,104104001,0,SIN MODIFICACION
104104002,104104002,0,SIN MODIFICACION
104104005,104104005,0,SIN MODIFICACION
104104006,104104006,0,SIN MODIFICACION
104104009,104104009,0,SIN MODIFICACION
104104010,104104010,0,SIN MODIFICACION
104202007,104202007,0,SIN MODIFICACION
104202009,104202009,0,SIN MODIFICACION
104202010,104202010,0,SIN MODIFICACION
104202011,104202011,0,SIN MODIFICACION
104202012,104202012,0,SIN MODIFICACION
104202013,104202013,0,SIN MODIFICACION
104202014,104202014,0,SIN MODIFICACION
104203003,104203003,0,SIN MODIFICACION
104203004,104203004,0,SIN MODIFICACION
104203007,104203007,0,SIN MODIFICACION
104203008,104203008,0,SIN MODIFICACION
104203011,104203011,0,SIN MODIFICACION
104203012,104203012,0,SIN MODIFICACION
104204003,104204003,0,SIN MODIFICACION
104204004,104204004,0,SIN MODIFICACION
104204007,104204007,0,SIN MODIFICACION
104204008,104204008,0,SIN MODIFICACION
104204011,104204011,0,SIN MODIFICACION
104204012,104204012,0,SIN MODIFICACION
104204013,104204013,0,SIN MODIFICACION
105101001,105101001,0,SIN MODIFICACION
105101002,105101002,0,SIN MODIFICACION
105101003,105101003,0,SIN MODIFICACION
105101008,105101008,0,SIN MODIFICACION
105101009,105101009,0,SIN MODIFICACION
105101010,105101010,0,SIN MODIFICACION
105101011,105101011,0,SIN MODIFICACION
105102001,105102001,0,SIN MODIFICACION
105102002,105102002,0,SIN MODIFICACION
105102007,105102007,0,SIN MODIFICACION
105102008,105102008,0,SIN MODIFICACION
105102012,105102800,2,FUSION
105102013,105102800,2,FUSION
105102006,105102800,2,FUSION
105103001,105103001,0,SIN MODIFICACION
105103002,105103002,0,SIN MODIFICACION
105103007,105103007,0,SIN MODIFICACION
105103008,105103008,0,SIN MODIFICACION
105103009,105103009,0,SIN MODIFICACION
105103010,105103010,0,SIN MODIFICACION
105104001,105104001,0,SIN MODIFICACION
105104002,105104002,0,SIN MODIFICACION
105104007,105104007,0,SIN MODIFICACION
105104008,105104008,0,SIN MODIFICACION
105104009,105104009,0,SIN MODIFICACION
105104010,105104010,0,SIN MODIFICACION
105105009,105105009,0,SIN MODIFICACION
105105010,105105010,0,SIN MODIFICACION
105105011,105105011,0,SIN MODIFICACION
105105012,105105012,0,SIN MODIFICACION
105105013,105105013,0,SIN MODIFICACION
105105014,105105014,0,SIN MODIFICACION
105105015,105105015,0,SIN MODIFICACION
105105016,105105016,0,SIN MODIFICACION
105106001,105106001,0,SIN MODIFICACION
105106002,105106002,0,SIN MODIFICACION
105106003,105106003,0,SIN MODIFICACION
105106004,105106004,0,SIN MODIFICACION
105106005,105106005,0,SIN MODIFICACION
105106006,105106006,0,SIN MODIFICACION
105201004,105201004,0,SIN MODIFICACION
105201005,105201005,0,SIN MODIFICACION
105201006,105201006,0,SIN MODIFICACION
105201007,105201007,0,SIN MODIFICACION
105201012,105201012,0,SIN MODIFICACION
105201013,105201013,0,SIN MODIFICACION
105202003,105202003,0,SIN MODIFICACION
105202004,105202004,0,SIN MODIFICACION
105202005,105202005,0,SIN MODIFICACION
105202009,105202009,0,SIN MODIFICACION
105202010,105202010,0,SIN MODIFICACION
105202011,105202011,0,SIN MODIFICACION
105203003,105203003,0,SIN MODIFICACION
105203004,105203004,0,SIN MODIFICACION
105203005,105203005,0,SIN MODIFICACION
105203006,105203006,0,SIN MODIFICACION
105203011,105203011,0,SIN MODIFICACION
105203012,105203012,0,SIN MODIFICACION
105204003,105204003,0,SIN MODIFICACION
105204004,105204004,0,SIN MODIFICACION
105204005,105204005,0,SIN MODIFICACION
105204006,105204006,0,SIN MODIFICACION
105204011,105204011,0,SIN MODIFICACION
105204012,105204012,0,SIN MODIFICACION
105205001,105205001,0,SIN MODIFICACION
105205002,105205002,0,SIN MODIFICACION
105205003,105205003,0,SIN MODIFICACION
105205004,105205004,0,SIN MODIFICACION
105205005,105205005,0,SIN MODIFICACION
105205006,105205006,0,SIN MODIFICACION
105205007,105205007,0,SIN MODIFICACION
105205008,105205008,0,SIN MODIFICACION
105206007,105206007,0,SIN MODIFICACION
105206008,105206008,0,SIN MODIFICACION
105206009,105206009,0,SIN MODIFICACION
105206010,105206010,0,SIN MODIFICACION
105206011,105206011,0,SIN MODIFICACION
105206012,105206012,0,SIN MODIFICACION
105206013,105206013,0,SIN MODIFICACION
106101001,106101001,0,SIN MODIFICACION
106101002,106101002,0,SIN MODIFICACION
106101003,106101003,0,SIN MODIFICACION
106101006,106101006,0,SIN MODIFICACION
106101007,106101007,0,SIN MODIFICACION
106101010,106101010,0,SIN MODIFICACION
106101011,106101011,0,SIN MODIFICACION
106101015,106101015,0,SIN MODIFICACION
106102001,106102001,0,SIN MODIFICACION
106102002,106102002,0,SIN MODIFICACION
106102004,106102004,0,SIN MODIFICACION
106102005,106102005,0,SIN MODIFICACION
106102007,106102007,0,SIN MODIFICACION
106102008,106102008,0,SIN MODIFICACION
106102011,106102011,0,SIN MODIFICACION
106102012,106102012,0,SIN MODIFICACION
106103001,106103001,0,SIN MODIFICACION
106103002,106103002,0,SIN MODIFICACION
106103003,106103003,0,SIN MODIFICACION
106103006,106103006,0,SIN MODIFICACION
106103007,106103007,0,SIN MODIFICACION
106103010,106103010,0,SIN MODIFICACION
106103011,106103011,0,SIN MODIFICACION
106104001,106104001,0,SIN MODIFICACION
106104005,106104005,0,SIN MODIFICACION
106104009,106104009,0,SIN MODIFICACION
106104010,106104010,0,SIN MODIFICACION
106201004,106201004,0,SIN MODIFICACION
106201005,106201005,0,SIN MODIFICACION
106201008,106201008,0,SIN MODIFICACION
106201009,106201009,0,SIN MODIFICACION
106201012,106201012,0,SIN MODIFICACION
106201013,106201013,0,SIN MODIFICACION
106201014,106201014,0,SIN MODIFICACION
106201016,106201016,0,SIN MODIFICACION
106201017,106201017,0,SIN MODIFICACION
106201018,106201018,0,SIN MODIFICACION
106202003,106202003,0,SIN MODIFICACION
106202006,106202006,0,SIN MODIFICACION
106202009,106202009,0,SIN MODIFICACION
106202010,106202010,0,SIN MODIFICACION
106202013,106202013,0,SIN MODIFICACION
106202014,106202014,0,SIN MODIFICACION
106202015,106202015,0,SIN MODIFICACION
106203004,106203004,0,SIN MODIFICACION
106203005,106203005,0,SIN MODIFICACION
106203008,106203008,0,SIN MODIFICACION
106203009,106203009,0,SIN MODIFICACION
106203012,106203012,0,SIN MODIFICACION
106203013,106203013,0,SIN MODIFICACION
106204002,106204002,0,SIN MODIFICACION
106204003,106204003,0,SIN MODIFICACION
106204004,106204004,0,SIN MODIFICACION
106204006,106204006,0,SIN MODIFICACION
106204008,106204008,0,SIN MODIFICACION
106304007,106304007,0,SIN MODIFICACION
106304011,106304011,0,SIN MODIFICACION
106304012,106304012,0,SIN MODIFICACION
107001001,107001001,0,SIN MODIFICACION
107001002,107001002,0,SIN MODIFICACION
107001003,107001003,0,SIN MODIFICACION
107001004,107001004,0,SIN MODIFICACION
107001005,107001005,0,SIN MODIFICACION
107001006,107001006,0,SIN MODIFICACION
107001007,107001007,0,SIN MODIFICACION
107001008,107001008,0,SIN MODIFICACION
107001009,107001009,0,SIN MODIFICACION
107001010,107001010,0,SIN MODIFICACION
107001011,107001011,0,SIN MODIFICACION
107009001,107009001,0,SIN MODIFICACION
107009002,107009002,0,SIN MODIFICACION
107009003,107009003,0,SIN MODIFICACION
107009004,107009004,0,SIN MODIFICACION
107009005,107009005,0,SIN MODIFICACION
107009006,107009006,0,SIN MODIFICACION
107009007,107009007,0,SIN MODIFICACION
107009008,107009008,0,SIN MODIFICACION
107009009,107009009,0,SIN MODIFICACION
107009010,107009010,0,SIN MODIFICACION
107009011,107009011,0,SIN MODIFICACION
107009012,107009012,0,SIN MODIFICACION
107010001,107010001,0,SIN MODIFICACION
107010002,107010002,0,SIN MODIFICACION
107010003,107010003,0,SIN MODIFICACION
107010004,107010004,0,SIN MODIFICACION
107010005,107010005,0,SIN MODIFICACION
107010006,107010006,0,SIN MODIFICACION
107010007,107010007,0,SIN MODIFICACION
107010008,107010008,0,SIN MODIFICACION
107010009,107010009,0,SIN MODIFICACION
107010400,107010801,2,FUSION
107010010,107010801,2,FUSION
107102001,107102001,0,SIN MODIFICACION
107102002,107102002,0,SIN MODIFICACION
107102003,107102003,0,SIN MODIFICACION
107102006,107102006,0,SIN MODIFICACION
107102007,107102007,0,SIN MODIFICACION
107102008,107102008,0,SIN MODIFICACION
107103002,107103002,0,SIN MODIFICACION
107103003,107103003,0,SIN MODIFICACION
107103005,107103005,0,SIN MODIFICACION
107103006,107103006,0,SIN MODIFICACION
107104001,107104001,0,SIN MODIFICACION
107104002,107104002,0,SIN MODIFICACION
107104003,107104003,0,SIN MODIFICACION
107104004,107104004,0,SIN MODIFICACION
107104005,107104005,0,SIN MODIFICACION
107104006,107104006,0,SIN MODIFICACION
107104007,107104007,0,SIN MODIFICACION
107105001,107105001,0,SIN MODIFICACION
107105002,107105002,0,SIN MODIFICACION
107105003,107105003,0,SIN MODIFICACION
107105005,107105005,0,SIN MODIFICACION
107106001,107106001,0,SIN MODIFICACION
107106002,107106002,0,SIN MODIFICACION
107106003,107106003,0,SIN MODIFICACION
107106004,107106004,0,SIN MODIFICACION
107106005,107106005,0,SIN MODIFICACION
107106006,107106006,0,SIN MODIFICACION
107106007,107106007,0,SIN MODIFICACION
107107001,107107001,0,SIN MODIFICACION
107107002,107107002,0,SIN MODIFICACION
107107003,107107003,0,SIN MODIFICACION
107107004,107107004,0,SIN MODIFICACION
107107005,107107005,0,SIN MODIFICACION
107107006,107107006,0,SIN MODIFICACION
107107007,107107007,0,SIN MODIFICACION
107108001,107108001,0,SIN MODIFICACION
107108002,107108002,0,SIN MODIFICACION
107108003,107108003,0,SIN MODIFICACION
107108004,107108004,0,SIN MODIFICACION
107108005,107108005,0,SIN MODIFICACION
