cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
1802,18,TACUAREMBO,2,ARTIGAS,50,18093592,90051,14214980,73377,254949,16.469806896101773,12.448818804137897
1902,19,TREINTA Y TRES,2,ARTIGAS,10,11720592,48134,14214980,73377,481308,16.469806896101773,13.084262676802762
103,1,MONTEVIDEO,3,CANELONES,33127,465848031,1318755,86306492,520173,22544,18.273415379180292,10.023224234138462
203,2,ARTIGAS,3,CANELONES,536,14214980,73377,86306492,520173,601915,18.273415379180292,13.307871518308573
403,4,CERRO LARGO,3,CANELONES,435,17048887,84698,86306492,520173,371156,18.273415379180292,12.824377738385657
503,5,COLONIA,3,CANELONES,366,43788749,123203,86306492,520173,189992,18.273415379180292,12.154737244993013
603,6,DURAZNO,3,CANELONES,466,13023942,57084,86306492,520173,190058,18.273415379180292,12.1550845677172
703,7,FLORES,3,CANELONES,162,7284124,25050,86306492,520173,174329,18.273415379180292,12.068699597473461
803,8,FLORIDA,3,CANELONES,892,17767290,67047,86306492,520173,88131,18.273415379180292,11.386579622903268
903,9,LAVALLEJA,3,CANELONES,446,15594153,58815,86306492,520173,114784,18.273415379180292,11.65080738033201
1003,10,MALDONADO,3,CANELONES,862,51311595,164298,86306492,520173,113400,18.273415379180292,11.638676670275789
1103,11,PAYSANDU,3,CANELONES,434,26828524,113107,86306492,520173,360009,18.273415379180292,12.793884310119799
1203,12,RIO NEGRO,3,CANELONES,316,24297744,54765,86306492,520173,313213,18.273415379180292,12.654638749261657
1303,13,RIVERA,3,CANELONES,584,20212707,103473,86306492,520173,487219,18.273415379180292,13.096468992975373
1403,14,ROCHA,3,CANELONES,407,17547856,68088,86306492,520173,232418,18.273415379180292,12.356292753628404
1503,15,SALTO,3,CANELONES,543,25542275,124861,86306492,520173,478972,18.273415379180292,13.079397419569663
1603,16,SAN JOSE,3,CANELONES,689,26930981,108304,86306492,520173,82580,18.273415379180292,11.321522799440082
1703,17,SORIANO,3,CANELONES,293,22993631,82594,86306492,520173,255131,18.273415379180292,12.449532417718995
1803,18,TACUAREMBO,3,CANELONES,596,18093592,90051,86306492,520173,350845,18.273415379180292,12.768099809474426
1903,19,TREINTA Y TRES,3,CANELONES,259,11720592,48134,86306492,520173,265708,18.273415379180292,12.490153240440288
104,1,MONTEVIDEO,4,CERRO LARGO,1387,465848031,1318755,17048887,84698,393703,16.651595480970684,12.883352096918037
204,2,ARTIGAS,4,CERRO LARGO,20,14214980,73377,17048887,84698,406688,16.651595480970684,12.915801585681796
304,3,CANELONES,4,CERRO LARGO,274,86306492,520173,17048887,84698,371159,16.651595480970684,12.82438582120764
