cod,depto_origen,depto_destino,personas_mig,personas_mig_100k,pob_origen,pob_destino,dist,pbi_origen,pbi_porcen_ori,pbi_destino,pbi_porcen_des,largo_limite,dummy_limit,empresas_origen,empresas_destino,log_pbi_destino,log_dist,nom_depto_orig,nom_depto_des
405,4,5,63,54,84698,123203,472743,17048887,1.8,43788749,4.7,,False,88,60,17.594887470203254,13.066307179430646,CERRO LARGO,COLONIA
406,4,6,67,30,84698,57084,277112,17048887,1.8,13023942,1.4,91548.0,True,88,40,16.38229991389759,12.532177035579231,CERRO LARGO,DURAZNO
407,4,7,5,4,84698,25050,347479,17048887,1.8,7284124,0.8,,False,88,28,15.801207743298134,12.758459510506242,CERRO LARGO,FLORES
408,4,8,73,48,84698,67047,335796,17048887,1.8,17767290,1.9,,False,88,101,16.692869684280286,12.724259111702338,CERRO LARGO,FLORIDA
409,4,9,131,112,84698,58815,268550,17048887,1.8,15594153,1.7,,False,88,54,16.562406594269497,12.500792395333605,CERRO LARGO,LAVALLEJA
410,4,10,810,759,84698,164298,322406,17048887,1.8,51311595,5.5,,False,88,188,17.753427307993373,12.683566899863274,CERRO LARGO,MALDONADO
411,4,11,61,49,84698,113107,444743,17048887,1.8,26828524,2.9,,False,88,144,17.104976207843436,13.005251866224905,CERRO LARGO,PAYSANDU
412,4,12,41,36,84698,54765,486397,17048887,1.8,24297744,2.6,,False,88,67,17.00589406449475,13.094780441851915,CERRO LARGO,RIO NEGRO
413,4,13,145,117,84698,103473,240871,17048887,1.8,20212707,2.2,64044.0,True,88,62,16.821822024002444,12.392016799455277,CERRO LARGO,RIVERA
414,4,14,95,77,84698,68088,254936,17048887,1.8,17547856,1.9,,False,88,54,16.680442335171204,12.448767812247556,CERRO LARGO,ROCHA
415,4,15,19,12,84698,124861,427098,17048887,1.8,25542275,2.8,,False,88,97,17.05584548056092,12.964768774074505,CERRO LARGO,SALTO
416,4,16,49,40,84698,108304,417388,17048887,1.8,26930981,2.9,,False,88,154,17.108787891900022,12.941771523810912,CERRO LARGO,SAN JOSE
417,4,17,34,32,84698,82594,468671,17048887,1.8,22993631,2.5,,False,88,85,16.95072782250245,13.057656308730087,CERRO LARGO,SORIANO
418,4,18,135,72,84698,90051,249464,17048887,1.8,18093592,2.0,102685.0,True,88,61,16.71106840040235,12.427069895185959,CERRO LARGO,TACUAREMBO
419,4,19,476,170,84698,48134,109230,17048887,1.8,11720592,1.3,216049.0,True,88,38,16.276857852782847,11.60121102983759,CERRO LARGO,TREINTA Y TRES
501,5,1,2690,2622,123203,1318755,172800,43788749,4.7,465848031,50.3,,False,60,3124,19.959370025169367,12.059890135352092,COLONIA,MONTEVIDEO
502,5,2,28,25,123203,73377,556292,43788749,4.7,14214980,1.5,,False,60,55,16.469806896101773,13.229048615230159,COLONIA,ARTIGAS
503,5,3,366,335,123203,520173,189992,43788749,4.7,86306492,9.3,,False,60,563,18.273415379180292,12.154737244993013,COLONIA,CANELONES
504,5,4,20,17,123203,84698,472743,43788749,4.7,17048887,1.8,,False,60,88,16.651595480970684,13.066307179430646,COLONIA,CERRO LARGO
506,5,6,63,60,123203,57084,199701,43788749,4.7,13023942,1.4,,False,60,40,16.38229991389759,12.204576526902637,COLONIA,DURAZNO
507,5,7,69,32,123203,25050,125265,43788749,4.7,7284124,0.8,2483.0,True,60,28,15.801207743298134,11.738186772255439,COLONIA,FLORES
508,5,8,53,27,123203,67047,194958,43788749,4.7,17767290,1.9,,False,60,101,16.692869684280286,12.180539429731901,COLONIA,FLORIDA
509,5,9,19,17,123203,58815,280944,43788749,4.7,15594153,1.7,,False,60,54,16.562406594269497,12.545910640199113,COLONIA,LAVALLEJA
510,5,10,309,288,123203,164298,296954,43788749,4.7,51311595,5.5,,False,60,188,17.753427307993373,12.601332523634476,COLONIA,MALDONADO
511,5,11,71,66,123203,113107,251002,43788749,4.7,26828524,2.9,,False,60,144,17.104976207843436,12.433216186209666,COLONIA,PAYSANDU
512,5,12,88,75,123203,54765,173119,43788749,4.7,24297744,2.6,,False,60,67,17.00589406449475,12.06173449828346,COLONIA,RIO NEGRO
513,5,13,34,28,123203,103473,484613,43788749,4.7,20212707,2.2,,False,60,62,16.821822024002444,13.091105913253198,COLONIA,RIVERA
514,5,14,35,28,123203,68088,398583,43788749,4.7,17547856,1.9,,False,60,54,16.680442335171204,12.895671036578872,COLONIA,ROCHA
515,5,15,68,65,123203,124861,369969,43788749,4.7,25542275,2.8,,False,60,97,17.05584548056092,12.821174497326567,COLONIA,SALTO
516,5,16,269,66,123203,108304,123288,43788749,4.7,26930981,2.9,67607.0,True,60,154,17.108787891900022,11.722278360815213,COLONIA,SAN JOSE
517,5,17,513,69,123203,82594,115037,43788749,4.7,22993631,2.5,144356.0,True,60,85,16.95072782250245,11.653009094728887,COLONIA,SORIANO
